53	Skywin Wallonie	1058, 1157
53	Smith Myers Communications Ltd	1018
53	Smiths Advanced Metals	1120K
53	SNC	4605
53	Società Industria Meccanica S.I.ME. Srl	1245
53	Socomore	1057
53	sofitec aero	2121
53	Sol.One	1058, 1157
53	Solar Atmospheres	2525
53	Somerset Council	1120, C413
53	Sonaca	1058, 1157
53	South Carolina Department of Commerce	2324
53	Southampton University Human Powered Aircraft - Pioneers of Tomorrow (Friday)
53	Southbourne Rubber Co Ltd (SBR)	4736
53	Southern Launch	3311
53	Sovereign Propulsion Systems (SPS)	3311
53	Space Applications Services	1058, 1157
53	Space Florida	3501B
53	Space Forge	4004
53	SPACE MACHINES COMPANY PTY LTD	3311
54	Spartan Aerospace Group	41060
54	Special Quality Alloys	1521
54	Specialised Polymer Engineering Ltd	4817
54	Spirit Defense A Boeing Company	C326-327, 4605
54	Spokane International Airport	0045
54	Squarcle Consulting Ltd	0650
54	SR Technics	4517
54	SSE - SOFITER SYSTEM ENGINEERING S.P.A. SIGLABILE SSE S.P.A.	1250
54	ST Airborne Systems	1558
54	ST Engineering MRAS	3120
54	StandardAero	4330
54	Standex Aerospace and Defense	1320
54	Starrag UK Ltd	4517
54	State of Connecticut	2127
54	State of Iowa	2428
54	State of New Hampshire	2039
54	Stein Seal	1050
54	Stelia North America	C223, 4225, 4525, 4623A, 4722
54	Stirling Dynamics	1120, C413,ROOM 8 - 6 PAX - WED - 09:00 TO 17:45
54	STOPART BRAKE MATERIAL CO.,LTD.	4828
55	Strategy and Events MICE	3320
55	Stratolaunch	0480
55	Stretch Forming Corporation	2338
55	Stronvar Aerospace	3541
55	Struers Ltd	1200
55	STS Metals	41320, 41321
55	SUBARU CORPORATION	2006, 2117, 2504
55	Sullivan Steel	2509
55	Sungjin Techwin Co., Ltd.	41031
55	Sunshine Metals	1231, C119-120
55	Superalloy Manufacturing Solutions Corp (SMSC)	41350
55	SUPERELECTRIC s.r.l.	1435
55	Supply Chain Solutions Framework	1120L
55	Surface Technology International Ltd	1317
55	Surrey Satellite Technology Ltd	4705
55	Sviluppumbria Spa	1145,1147
55	SVM Tech Co.,Ltd.	4931
55	SVT: Supply Chain Solutions	2039
55	SWISS PAVILION	4517
55	Syensqo	C220
56	Synergetic Technologies Group, Inc.	2338
56	Tactical Air Support Inc.	3526H
56	Taekyung Electronics Co., Ltd.	41031
56	TAESANG Co., Ltd	4840
56	TAG	1355
56	Tallahassee International Airport	3501A
56	Tata Advanced Systems Limited	C410
56	Tata Consultancy Services	C410
56	Tata Technologies Europe Ltd,	0140
56	TAV VACUUM FURNACES SPA	1038
56	Taylor Devices, Inc.	41512
56	TC AEROSPACE	4138
56	Team Scotland	4505
56	TECHNOSPRINGS ITALIA SRL	1437
56	TECHSiL Ltd	4900
56	Tecno E.D.M. S.r.l	1245
56	Teconnex Ltd	1320
56	Teesside International Airport Business Park	3920
56	TEI-TUSAS Engine Industries, Inc.	4338
56	TEK4 Limited	3940
57	TEKEVER	1160
57	Teledyne	2330
57	Telsy S.p.A	1505
57	Terma A/S	2320
57	Test Industry S.r.l.	1145,1147
57	TEST-FUCHS GmbH	3722,3726, 3728
57	TESTCOR Co.,Ltd.	41035
57	Testia	0070
57	Texas Economic Development & Tourism Office	3545
57	Texmo Blank Ltd	3006
57	Textron Inc.	A031
57	TFI Aerospace	1355
57	TFS AERO	3320
57	The Air League	PINN-05
57	THE BOEING COMPANY	C201-206, C620
57	The Honourable Company of Air Pilots
57	The HR Dept	1317
57	The Lee Company	41120
57	The Society of Japanese Aerospace Companies (SJAC)	2006, 2117, 2504
57	THOMAS GLOBAL SYSTEMS AUSTRALIA PTY LTD	3311
58	Ti Squared Technologies. Inc.	3028
58	TI-TEK [UK] Limited	1317
58	Tidal Flight	2125
58	TIGHITCO, Inc.	2324
58	TIJUANA EDC	3320
58	Timken Aurora Bearing Company	41502
58	Tinicum Incorporated	41320, 41321
58	Tioga Limited	1317
58	Tipro International Co., Ltd	1008
58	TISICS Ltd	1317
58	Titanium Fabrication Corp (Ti-Fab)	41350
58	Titanium Industries	3027
58	TITANIUM INTERNATIONAL GROUP SRL	1542
58	tk accelis Supply Chain Solutions	C110-111
58	TLG Aerospace	1351
58	Toray Industries	C329
58	Toyota
58	TPS Solutions GmbH	4517
58	TRANSAERO	3425
58	Transense Technologies plc	4801
59	Trelleborg Aerospace	1115, C117
59	Trescal	41311
59	Trexon	4021
59	Tri Models Inc	2338
